S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name,Is_Pedestrian_Prone,Is_TwoWheeler_Prone,Is_Cyclist_Prone,Circle_Name,Circle_Fatal_Accidents,Circle_Top_Offending_Vehicles,Circle_Top_Victims,Circle_Top_Roads,Circle_Vulnerable_Time_Slots
84,SARAI KALE KHAN,8,3,11,RING ROAD,0,0,0,LAJPAT NAGAR,37,UNKNOWN VEHICLE (20); SC/M.CYCLISTS,SC/M.CYCLISTS,MATHURA ROAD (4); RING ROAD; NOIDA DND ROAD,2100-2200 (6); 0300-0400; 0500-0600 (3); 2200-2300
85,SARITA VIHAR METRO STATION,12,3,15,MATHURA ROAD,0,1,0,,,,,,
86,SATYA NIKETAN NANAKPURA,2,5,7,RING ROAD,0,0,0,,,,,,
87,"SEC-1,2 RED LIGHT DWARAKA",12,1,13,ROAD NO.202,0,0,0,DWARAKA,25,UNKNOWN VEHICLE (8); SCOOTER/M.CYCLIST (2),PEDESTRIAN; SCOOTERIST/M.CYCLIST,ROAD NO.201; ROAD NO.202,2200-2300
88,SEELAMPUR T POINT,14,3,17,G.I. ROAD,0,0,0,,,,,,
89,SGT NAGAR,6,7,13,GTK ROAD,1,0,0,,,,,,
90,SHAHDARA FLYOVER,11,1,12,G.T. ROAD,0,0,0,,,,,,
91,SHALIMAR BAGH,2,3,5,RING ROAD,0,0,0,ASHOK VIHAR,49,UNKNOWN VEHICLE; BUS DTC,SCOOTERIST/M.CYCLISTS; PEDESTRIAN; CYCLIST,RING ROAD; ROAD NO 43,0000-0100; 2300-2400; 1900-2000
92,SHANI MANDIR NH-1,9,8,17,GTK ROAD,1,1,0,NARELA,83,HTV'S,S/M.CYCLISTS; PEDESTRIAN,NARELA ROAD; GTK ROAD,2200-2300; 2000-2100; 1400-1500
93,SHANTI VAN,12,0,12,RING ROAD,0,1,0,KOTWALI,19,UNKNOWN VEHICLE (12),PEDESTRIAN; SCOOTERIST/M.CYCLIST,RING ROAD; SPM MARG (3); CHANDNI CHOWK (2); HANUMAN MANDIR YAMUNA,0500-0600
94,SHASTRI NAGAR METRO STATION,18,10,28,VIR BANDA BAIRAGI MARG,0,1,1,,,,,,
95,SHASTRI PARK METRO STATION,3,4,7,OLD GT ROAD,0,0,0,,,,,,
96,SHASTRI PARK/IT PARK,10,5,15,G.T. ROAD,1,0,0,,,,,,
97,SHIV MURTI NH-8,4,4,8,NH-8,1,0,0,,,,,,
98,SHYAM LAL COLLEGE,10,4,14,G.T. ROAD,0,0,1,,,,,,
99,SWAROOP NAGAR,10,6,16,GTK ROAD,1,0,0,,,,,,
100,TELCO GAJIPUR,3,4,7,ROAD NO.56,0,0,0,,,,,,
101,TIKRI KHURD BUS STAND,2,5,7,GTK ROAD,1,0,0,NARELA,83,HTV'S,S/M.CYCLISTS; PEDESTRIAN,NARELA ROAD; GTK ROAD,2200-2300; 2000-2100; 1400-1500
102,TOLL PLAZA BADARPUR,10,3,13,MATHURA ROAD,0,0,0,,,,,,
103,UDYOG NAGAR,9,4,13,ROHTAK ROAD,1,0,0,,,,,,
104,UTTAM NAGAR,6,3,9,NAJAFGARH ROAD,0,0,0,,,,,,
105,VIJAY GHAT,3,3,6,RING ROAD,0,0,0,,,,,,
106,WAZIRABAD,14,3,17,OUTER RING ROAD,0,0,0,CIVIL LINES,54,UNKNOWN VEHICLE (32),SCOOTERIST/M.CYCLISTS,OUTER RING ROAD; BULOYARD ROAD (6); WAZIRABAD PULL,0400-0500 (5)
107,WAZIRABAD PULL,1,3,4,WAZIRABAD ROAD,0,0,0,CIVIL LINES,54,UNKNOWN VEHICLE (32),SCOOTERIST/M.CYCLISTS,OUTER RING ROAD; BULOYARD ROAD (6); WAZIRABAD PULL,0400-0500 (5)
108,ZAKHIRA FLYOVER,7,3,10,ROHTAK ROAD,0,0,0,,,,,,
