S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
15,HANUMAN MANDIR YAMUNA BAZAR,RING ROAD,RING ROAD,ROAD STRETCH,7,6,13,0.462,VERY HIGH,0,0,0,0,0,0,0
16,INDIRA KALYAN VIHAR RED LIGHT,ANAND MAI MARG,OTHER,INTERSECTION,6,6,12,0.5,VERY HIGH,1,0,0,1,1,1,1
17,ITO/IP FLYOVER,RING ROAD,RING ROAD,FLYOVER,5,6,11,0.545,VERY HIGH,0,1,0,0,1,0,1
18,"SEC-1,2 RED LIGHT DWARKA",ROAD NO.201,OTHER,INTERSECTION,5,6,11,0.545,VERY HIGH,0,0,0,0,0,0,0
19,SHASTRI PARK/IT PARK,G.T.ROAD,GT ROAD,ROAD STRETCH,17,5,22,0.227,HIGH,0,1,0,1,0,1,1
20,PUNJABI BAGH CHOWK,RING ROAD,RING ROAD,MULTI-LEVEL INTERSECTION,15,5,20,0.25,HIGH,0,0,0,0,1,0,1
21,PEERAGARHI CHOWK,OUTER RING ROAD,OUTER RING ROAD,EXCHANGE HUB,15,5,20,0.25,HIGH,0,0,0,0,0,0,0
22,SWAROOP NAGAR,GTK ROAD,GTK ROAD,T-INTERSECTION,13,5,18,0.278,HIGH,0,0,0,1,1,0,1
23,METRO STATION MADIPUR,ROHTAK ROAD,ROHTAK ROAD,METRO STATION,10,5,15,0.333,HIGH,1,0,0,0,1,0,1
24,BURARI CHOWK,OUTER RING ROAD,OUTER RING ROAD,T-INTERSECTION,10,5,15,0.333,HIGH,0,1,0,0,1,1,0
25,NARAINA,RING ROAD,RING ROAD,ROAD STRETCH,9,5,14,0.357,HIGH,0,1,0,0,1,0,1
26,MAJLIS PARK METRO STATION,ROAD NO.51,OTHER,METRO STATION,8,5,13,0.385,HIGH,0,0,1,0,0,0,1
27,SHAKARPUR CHUNGI,VIKAS MARG,OTHER,INTERSECTION,7,5,12,0.417,HIGH,0,0,0,0,0,0,0
28,SIRASPUR,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,6,5,11,0.455,HIGH,1,0,0,0,1,1,0
29,MUNDKA METRO STATION,ROHTAK ROAD,ROHTAK ROAD,METRO STATION,5,5,10,0.5,HIGH,1,0,0,0,1,0,1
30,SARITA VIHAR METRO STATION,MATHURA ROAD,MATHURA ROAD,METRO STATION,4,5,9,0.556,HIGH,1,0,0,0,0,0,1
31,TIKRI VILLAGE,ROHTAK ROAD,ROHTAK ROAD,HIGHWAY VILLAGE,4,5,9,0.556,HIGH,1,0,0,1,0,1,0
32,AZAD PUR CHOWK,GTK ROAD,GTK ROAD,INTERSECTION,3,5,8,0.625,HIGH,1,0,0,0,1,0,1
33,JASOLA VIHAR,ROAD NO 13A,OTHER,T-INTERSECTION,2,5,7,0.714,HIGH,0,0,1,0,0,1,0
